,zipcode,city,states,revenue_per_zipcode,national_num_esta
12985,46234,INDIANAPOLIS,IN,13046,290
12986,46235,INDIANAPOLIS,IN,6283,40
12987,46236,INDIANAPOLIS,IN,13867,595
12988,46237,INDIANAPOLIS,IN,15910,1000
12989,46239,INDIANAPOLIS,IN,11565,325
12990,46240,INDIANAPOLIS,IN,18016,1675
12991,46241,INDIANAPOLIS,IN,19216,1270
12992,46242,INDIANAPOLIS,IN,4995,10
12993,46247,INDIANAPOLIS,IN,630,15
12994,46249,INDIANAPOLIS,IN,675,15
12995,46250,INDIANAPOLIS,IN,19015,1945
12996,46253,INDIANAPOLIS,IN,4995,10
12997,46254,INDIANAPOLIS,IN,18568,1330
12998,46256,INDIANAPOLIS,IN,16356,455
12999,46259,INDIANAPOLIS,IN,630,15
13000,46260,INDIANAPOLIS,IN,14966,725
13001,46268,INDIANAPOLIS,IN,26641,1675
13002,46278,INDIANAPOLIS,IN,14082,585
13003,46280,INDIANAPOLIS,IN,9875,125
13004,46282,INDIANAPOLIS,IN,675,15
13005,46285,INDIANAPOLIS,IN,1300,60
13006,46290,INDIANAPOLIS,IN,7838,115
13007,46301,BEVERLY SHORES,IN,1299,30
13008,46302,BOONE GROVE,IN,4995,10
13009,46303,CEDAR LAKE,IN,11803,390
13010,46304,CHESTERTON,IN,20097,1000
13011,46307,CROWN POINT,IN,15538,1245
13012,46310,DEMOTTE,IN,9977,310
13013,46311,DYER,IN,18969,665
13014,46312,EAST CHICAGO,IN,12194,585
13015,46319,GRIFFITH,IN,14262,530
13016,46320,HAMMOND,IN,20707,520
13017,46321,MUNSTER,IN,13399,755
13018,46322,HIGHLAND,IN,15330,930
13019,46323,HAMMOND,IN,15183,615
13020,46324,HAMMOND,IN,15582,460
13021,46325,HAMMOND,IN,670,15
13022,46327,HAMMOND,IN,9243,205
13023,46340,HANNA,IN,630,15
13024,46341,HEBRON,IN,14083,250
13025,46342,HOBART,IN,15352,780
13026,46346,KINGSFORD HEIGHTS,IN,630,15
13027,46347,KOUTS,IN,12146,120
13028,46348,LA CROSSE,IN,630,15
13029,46349,LAKE VILLAGE,IN,670,15
13030,46350,LA PORTE,IN,17403,1160
13031,46356,LOWELL,IN,9122,295
13032,46360,MICHIGAN CITY,IN,25207,1825
13033,46361,MICHIGAN CITY,IN,675,15
13034,46366,NORTH JUDSON,IN,2818,105
13035,46368,PORTAGE,IN,18341,1170
13036,46371,ROLLING PRAIRIE,IN,7207,100
13037,46373,SAINT JOHN,IN,5227,375
13038,46374,SAN PIERRE,IN,630,30
13039,46375,SCHERERVILLE,IN,18306,1365
13040,46376,SCHNEIDER,IN,630,30
13041,46379,SUMAVA RESORTS,IN,585,15
13042,46381,THAYER,IN,585,15
13043,46382,UNION MILLS,IN,1264,30
13044,46383,VALPARAISO,IN,22518,1615
13045,46384,VALPARAISO,IN,4995,10
13046,46385,VALPARAISO,IN,16340,335
13047,46390,WANATAH,IN,2494,90
13048,46391,WESTVILLE,IN,11264,110
13049,46392,WHEATFIELD,IN,7165,100
13050,46394,WHITING,IN,16988,475
13051,46402,GARY,IN,10070,190
13052,46403,GARY,IN,13354,280
13053,46404,GARY,IN,6248,40
13054,46405,LAKE STATION,IN,14995,290
13055,46406,GARY,IN,11514,150
13056,46407,GARY,IN,7913,140
13057,46408,GARY,IN,10546,370
13058,46409,GARY,IN,12368,105
13059,46410,MERRILLVILLE,IN,24025,2175
13060,46501,ARGOS,IN,9140,115
13061,46504,BOURBON,IN,1714,75
13062,46506,BREMEN,IN,12318,180
13063,46507,BRISTOL,IN,2592,90
13064,46510,CLAYPOOL,IN,4995,10
13065,46511,CULVER,IN,8607,145
13066,46514,ELKHART,IN,22484,1460
13067,46515,ELKHART,IN,6070,40
13068,46516,ELKHART,IN,15584,820
13069,46517,ELKHART,IN,11925,555
13070,46524,ETNA GREEN,IN,1872,45
13071,46526,GOSHEN,IN,18653,1175
13072,46528,GOSHEN,IN,10683,120
13073,46530,GRANGER,IN,15767,540
13074,46532,HAMLET,IN,630,15
13075,46534,KNOX,IN,9631,245
13076,46536,LAKEVILLE,IN,11660,105
13077,46537,LAPAZ,IN,1298,30
